"","player","year","qbr_pct","mean_epa","grades_offense","dropbacks","qbr_pct_tot","mean_epa_tot","grade_avg","plays_tot"
"114","Drew Brees",2016,0.848955072687767,0.161965435006287,83.2,704,0.972591129618359,0.184613509396664,86.0866666666667,10373
"115","Kirk Cousins",2016,0.848418807976596,0.188768401288229,80.6,638,0.835772233738767,0.0918870515277808,75.5818181818182,6184
"116","Cam Newton",2015,0.847507266547517,0.144476344071909,84.7,657,0.764101213273699,0.0685868279293223,72.5222222222222,6416
"117","Dak Prescott",2020,0.845876295395253,0.137335715124098,85.2,240,0.925453073832294,0.145626442334069,80.025,5056
"118","Derek Carr",2020,0.845254320741862,0.141900635958009,84.7,566,0.762543386571187,0.0519369860631264,73.97,6376
"119","Russell Wilson",2013,0.845033810571097,0.15114218365901,83.8,583,0.922127540654702,0.121056387871782,81.8416666666667,7996
"120","Ben Roethlisberger",2012,0.844421400559356,0.132517059345138,85.5,491,0.886365529875877,0.120526478223328,77.5866666666667,9818
"121","Alex Smith",2017,0.844102461697729,0.168015565397165,82.1,615,0.64627265924861,0.0391445408628827,68.2769230769231,6446
"122","Matt Schaub",2010,0.843707835913119,0.142256315839066,84.5,611,0.835787300453251,0.0909378967451743,75.6714285714286,3706
"123","Kirk Cousins",2019,0.843383903951862,0.145054529849719,84.2,549,0.835772233738767,0.0918870515277808,75.5818181818182,6184
"124","Drew Brees",2006,0.842913853220877,0.155071493143383,83.2,672,0.972591129618359,0.184613509396664,86.0866666666667,10373
"125","Ben Roethlisberger",2018,0.842481024966578,0.207319407230752,78.2,713,0.886365529875877,0.120526478223328,77.5866666666667,9818
"126","Matt Schaub",2011,0.841577904816342,0.20314165165375,78.5,313,0.835787300453251,0.0909378967451743,75.6714285714286,3706
"127","Jared Goff",2023,0.839333777668009,0.124700661909877,85.7,761,0.742783577243079,0.0744966099413695,70.6,5055
"128","Mike Vick",2010,0.837649758289867,0.184010403205089,79.9,508,0.538197052673264,0.0311673890373471,63.35,2610
"129","Tua Tagovailoa",2023,0.83716994650538,0.109652822758783,86.9,655,0.855110358784854,0.109159557576936,75.625,1963
"130","Deshaun Watson",2019,0.835008372363352,0.151581898692926,82.7,691,0.857907969953974,0.124294410157809,74.4666666666667,2949
"131","Aaron Rodgers",2019,0.829454184584894,0.135039838319693,83.7,704,0.979421840847449,0.206469976661852,86.52,10172
"132","Matt Ryan",2010,0.829326019493821,0.135957693186286,83.6,650,0.90969677727642,0.122401377083703,80.08,10221
"133","Matthew Stafford",2020,0.829265331132248,0.152768139084279,82,583,0.82311958418657,0.085109677812881,75.2,9152
"134","Tony Romo",2010,0.826947181940274,0.0458893425163812,91.9,223,0.9019842635939,0.142482734941751,77.2777777777778,5164
"135","Jalen Hurts",2023,0.823653884687754,0.0972700821112443,86.7,661,0.870937920411379,0.109597704799428,77.05,2512
"136","Matthew Stafford",2016,0.823139678114286,0.152632148692338,81.4,696,0.82311958418657,0.085109677812881,75.2,9152
"137","Tony Romo",2006,0.819011514143633,0.183160540777587,78.1,407,0.9019842635939,0.142482734941751,77.2777777777778,5164
"138","Matt Ryan",2020,0.816326491268414,0.127676555196948,83.1,683,0.90969677727642,0.122401377083703,80.08,10221
"139","Kirk Cousins",2023,0.815450152695098,0.0951437523578439,86.1,331,0.835772233738767,0.0918870515277808,75.5818181818182,6184
"140","Ben Roethlisberger",2016,0.814653966838318,0.155508515012391,80.3,630,0.886365529875877,0.120526478223328,77.5866666666667,9818
"141","Justin Herbert",2020,0.813797811951515,0.158860950932448,79.9,653,0.927227190993511,0.112953702593831,83.325,2917
"142","Lamar Jackson",2022,0.810286992984577,0.0994346087286235,85.2,378,0.904444296982111,0.13194818392784,78.55,3530
"143","Case Keenum",2017,0.809081535249205,0.138311472138886,81.4,615,0.501568103397849,-0.0091748268480548,65.24,2716
"144","Lamar Jackson",2020,0.809078289115687,0.160456971206779,79.3,519,0.904444296982111,0.13194818392784,78.55,3530
"145","Eli Manning",2009,0.806155220334586,0.179710732889303,77.2,546,0.700463146908007,0.0488281281679768,70.4285714285714,8724
"146","Jameis Winston",2021,0.805955871973778,0.213264719256672,74,191,0.777370601898692,0.096089921565159,70.85,3518
"147","Philip Rivers",2011,0.805457995615175,0.165313036124937,78.5,621,0.92724274767162,0.157424319585473,79.1866666666667,9774
"148","Kyler Murray",2020,0.799560756055899,0.114212453787762,82.8,638,0.767053522704374,0.0591081828854831,73.6,2959
"149","Aaron Rodgers",2008,0.798960678689022,0.152657218192527,79.1,600,0.979421840847449,0.206469976661852,86.52,10172
"150","Jay Cutler",2008,0.798903233534709,0.151547125946695,79.2,652,0.58355064863247,0.0189304380850857,66.825,5853
"151","Josh Freeman",2010,0.798553831703004,0.160702735657226,78.3,544,0.40923783922029,-0.0110783424454977,60.68,2438
"152","C.J. Stroud",2023,0.797800724638302,0.10935252203692,83.1,618,0.923330573940574,0.10935252203692,83.1,661
"153","Joe Flacco",2014,0.794116281842933,0.178605214765255,76.2,659,0.65164265532654,0.0363762722029323,68.8285714285714,8115
"154","Matt Ryan",2014,0.792554826271383,0.0853650085284722,84.9,683,0.90969677727642,0.122401377083703,80.08,10221
"155","Tom Brady",2013,0.792517485471968,0.147557049760268,79,739,0.978920646973251,0.20390075749234,86.55625,12503
"156","Ryan Tannehill",2021,0.791803749039455,0.0973113069508779,83.7,625,0.783406927889891,0.0609460210745721,74.5363636363636,5927
